"鄉鎮市區","土地區段位置或建物區門牌","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價每平方公尺","編號"
"大安區","臺北市大安區安和路二段151~180號","住",1060501,"土地1建物1車位0","五層","十七層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",750131,193.15,4,2,2,"有","有",53780000,278436,"RPOPMLSJQHMFFFA68DA"
"大安區","臺北市大安區安和路二段20巷1~30號","住",1060616,"土地1建物1車位0","四層","五層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",760617,143.7,3,2,2,"有","無",22000000,153097,"RPUNMLOJQHMFFFA58CA"
"大安區","臺北市大安區光復南路661~690號","商",1060504,"土地2建物1車位0","六層","十二層","住宅大樓(11層含以上有電梯)","商業用","鋼筋混凝土造",730626,26.06,2,1,1,"有","有",3800000,145817,"RPWNMLQKQHMFFFA09CA"
"大安區","臺北市大安區信義路四段265巷31弄1~30號","住",1060711,"土地1建物1車位0","六層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",NA,141.87,3,2,2,"有","有",29500000,207937,"RPPRMLOLQHMFFFA68CA"
"大安區","臺北市大安區臥龍街131巷1~30號","住",1060712,"土地2建物2車位0","一層，二層","五層","公寓(5樓含以下無電梯)","住商用","鋼筋混凝土造",750117,58.66,2,1,1,"有","無",10000000,170474,"RPRNMLNLQHMFFFA38CA"
"大安區","臺北市大安區樂業街169巷1~30號","住",1050911,"土地1建物1車位0","一層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",671125,94.88,3,2,2,"有","無",20700000,218170,"RPUNMLNLQHMFFFA68CA"
"大安區","臺北市大安區信義路四段378巷1~30號","商",1060630,"土地1建物1車位0","三層，陽台","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,55.76,3,2,1,"有","無",9157712,164234,"RPROMLSJQHMFFFA78CA"
"大安區","臺北市大安區臥龍街195巷1~30號","住",1060703,"土地1建物1車位0","一層，停車場","五層","公寓(5樓含以下無電梯)","住商用","鋼筋混凝土造",710702,96.34,3,2,2,"有","無",15700000,162965,"RPRNMLOKQHMFFFA38CA"
"萬華區","臺北市萬華區雙園街1~30號","商",1060619,"土地1建物1車位0","二層","二層","公寓(5樓含以下無電梯)",NA,"加強磚造",NA,54.45,0,0,0,"無","無",7288800,133862,"RPRNMLNJQHMFFBA87DA"
"萬華區","臺北市萬華區康定路211~240號","商",1060609,"土地1建物1車位0","一層，騎樓","十層","店面(店鋪)","商業用","鋼筋混凝土造",740608,109.04,1,1,1,"有","無",22000000,201761,"RPRQMLOJQHMFFBA28DA"
"萬華區","臺北市萬華區和平西路三段382巷2弄1~30號","住",1060702,"土地1建物1車位0","三層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",650316,92.11,3,2,1,"有","無",12570000,136467,"RPTNMLOJQHMFFBA18DA"
